group	sample_id	input_bam	output_bam	total_R1_proper	mapq30_primary	kept_high_quality	percent_kept_of_total_R1_proper	percent_kept_of_mapq30_primary
healthy	seq046810	data/EDTA_WGS_hc/seq046810.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq046810.high_quality.R1.bam	31207935	31207935	31151246	99.818351	99.818351
healthy	seq047238	data/EDTA_WGS_hc/seq047238.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047238.high_quality.R1.bam	30097579	30097579	29987784	99.635203	99.635203
healthy	seq047248	data/EDTA_WGS_hc/seq047248.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047248.high_quality.R1.bam	28536313	28536313	28522411	99.951283	99.951283
healthy	seq047288	data/EDTA_WGS_hc/seq047288.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047288.high_quality.R1.bam	28782357	28782357	28767686	99.949028	99.949028
healthy	seq047303	data/EDTA_WGS_hc/seq047303.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047303.high_quality.R1.bam	31136513	31136513	31121153	99.950669	99.950669
healthy	seq047656	data/EDTA_WGS_hc/seq047656.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047656.high_quality.R1.bam	32314940	32314940	32287973	99.916549	99.916549
healthy	seq047660	data/EDTA_WGS_hc/seq047660.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047660.high_quality.R1.bam	29326179	29326179	29151325	99.403761	99.403761
healthy	seq047702	data/EDTA_WGS_hc/seq047702.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047702.high_quality.R1.bam	32466709	32466709	32439330	99.915671	99.915671
healthy	seq047715	data/EDTA_WGS_hc/seq047715.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047715.high_quality.R1.bam	24686586	24686586	24665605	99.915011	99.915011
healthy	seq047845	data/EDTA_WGS_hc/seq047845.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047845.high_quality.R1.bam	32656808	32656808	32636635	99.938227	99.938227
